Id	EssayText
13959	1.they do mitosis so they can stay alive if one cell is dying.2.more substances come in then out3.cell get rid of the stuff they dont need for the cell
13960	MITOSIS MEOSIS TRANSLATION
13961	1. The plasma membrane itself helps to control the movement of some substances by letting them in or keeping them out.2. The golgi apparatus regulates the movement of substances across the cell membrane.3. The endoplasmic reticulum helps to regulate the movement of substances across the cell membrane as well.
13962	The cell can tell the substances to move across the membrane because the cells need to move to get to the place where they need to go.
13963	The membrane recognizes and lets needed protiens go into the cell.Osmosis is a way they keep the liquid in the cell equal to the liquid outside of the cell.Plants use a cell wall to protect the cell and keep out big things and let the little things in.
13964	1.The structure og the cell's is the same2.living cell's come from another living cell3. cell's come from cell's
13965	respirationmovement of foods and protiens in and out of the cell
13966	1. The postion of the cell sometimes wont let the cell move.2. The flagella will grab hold of something on the side to where it will be stuck until it lets go.3. The procees of the cell will stay in one place until its procees is complet.
13967	cellular wall
13968	First they decide if the substances is good or bad. They insepct the substances by telling if its a protein or a diease.  Secound they elimanate the bad substances. If the substance is good they let it go throw. Third  they ship or store some of the protiens
13969	Proteins are carried by ribosomes to the golgi apparatus.Lipids are stored in the cell membrane to later be sent all over the cell.Stuff that needs to be obstructed from the cell is decomposed by the Lysosomes that travel throughout the cell.
13970	Osmosis, Mitosis, and Cytosis.
13971	Osmosious controls the movement of water across the cell.Diffusion controls how gentic information is moved to another cell.Sodium potassioum pump moves sodium and potassioum around the cell through tubes.
13972	All cells are living.Some cells make other cells.
13973	Transportation so the cell can move particles across the plasma membraneHomeostacis so the cell can do its job normally
13974	The membrane is permeable which allows smaller cells to go through. Membranes have cells that create openings for larger cells.
13975	anaphase: Cells splittelophase: Cells start to splitprophase: Nuclear membrain dissapers
13976	Cell Wall- controls what goes in and outCell Membrane- also controls what goes in and outNucleus- conrtols what the cell does
13977	The cell membrane uses enzymes.
13978	PHILANGES AND TINY HAIRLIKE STRUCTURES ON THE OUTSIDE OF A CELL THAT HELP THE CELL GATHER FOOD AND SOMETIMES EVEN MOVE. IONIC CHANNELS ONLY LET IN CERTIAN AMOUNTS OF CERTAIN SUBSTANCES THIS CONTROLS THE AMOUNT OF PROTIENS GETTING INTO THE CELL. THE PARTS OF A CELL ARE HELD TOGETHER BY THE CYTOPLASM AND MEMBRANE. THIS DOES NOT ALLOW FOR FOREIGN THINGS TO BE ABLE TO PENETRATE THE CELL.
13979	cell respiration
13980	Osmosis is used to move molecules across the cell's permiable membrane.  Also the protein carriers to determine what can move through or across the membrane
13981	equilbrium of substances from higt to low concertrion  diffusion the excreation of water and waste from the cell
13982	Three processes used by cells to control the movement of substances across the cell membrane include: Keeping all the healthy cells healthy, getting rid of the bad cells, and maintaining a smooth environment.
13983	into and out of the cell
13984	Trna is a movement of a type of cell across the cell membrane.
13985	Three processes are when the cell usese other cells, the use of cilai and flagilia.
13986	The cells use active transport, osmosis, and diffusion to control the movement of substances across the cell membrane. In active transport, the substances move thought the opening (tubes) in the cell membrane to get into the cell. They osmosis, the substances need to be small so they can pass through the membrane. Lastly, in diffusion, they difuse into the cell.
13987	Replication-
13988	Cells use the process of diffusion to take in the substances. The protiens in the plasma membrane change their shape to carry substances throught the membrane and into the cell. Osmosis also brings substances into the cell by bringing them in through the water around the cell.
13989	cillia- these are short hair like projections that cover the outside of the cell.cell membrain- a barier that lets protiens and food in and out of the cells baodycell wall- also a baier but on plants it helps take in light and releses excces water.
13990	Three processes used by cells to control the movement of substances across the cell membrane are being selectively or semi-permeable, osmosis, and diffusion.
13991	Active Transport, inactive transport and escort transport
13992	carries protien
13993	homeostasis
13994	Osmosis is the movement of water across the cell membrane. Transportation through the hols of a cell membrane is another. And the other is when they leave through lysosomes.
13995	They can carry nutrients across.
13996	The cell uses the ER to move things throughout the cell.  It moves protiens around through its winding tubes.The cell uses the mRNA to move information throughout the cell.The cell uses the vacuole to move waste throughout the cell.
13997	The cells control movement of substances by sending things into the endoplasmic reticulum and once inside, the substances get moved and exit through the exoplasmic reticulum, then they leave the body through digestion.
13998	The cells movement is controlled by the cell membrane. It controls what comes into the cell and what leaves the cell. Although the nucleus controls the cell and tells it to move the membrane does most of the work.
13999	Cells use diffusion to transfer water across the membrane. They also use protien holes to move the larger substances. Some things that they move across simply pass through the membrane
14000	1. the cell can control the membrane cause its part of the cell2. the cell can control the membrane like we can do same to ours3.the cell sends a it threw littel tiny cells to the membrane
14001	1.     -Osmosis is how water gets diffused thru the membrane. 2.     -Active Transport is where an enzyme opens the cell membrane for an object to come in, and extra energy is needed to assist the object into the cell.3.     -Passive Transport is where an enzyme opens the cell, but the object doesn't need the extra energy to come in.
14002	the cytoplasm which caries it on the substance.
14003	The ER is used to direct things leaving the nucleus or help things move through out the cell.The Golgi apperatus directs vacules around the cell.
14004	Cells use diffusion to move substances from an area of high concentration to an area of low concentration until it reaches equilibrium.  Cells also use osmosis, which is diffusion but with water.
14005	Cells have protective layers that could prevent harmful substances from entering throug the cell membrane.
14006	Three processes used by cells to control the movement of substances across the cell membrane are Diffusion; paricles moving from high to low consentration. Osmises;
14007	Osmosis, balancing water levels.Diffusion of cell materials.mRNA leaving the nucleus.
14008	the cell can move because of the nucleus. The cell wall is located behind the cell membrane so I thank this would  have something to do with it.I aslo thank it is the mitochrondia.
14009	one is the edoplamick reticulum. and two is the cell mimbraint.
14010	1. Golgi apperatus2. Lysosomes3. Endure Rectal
14011	1. The nucleous tells the mitocontria to send a signal to the cell membrane.2. The cell membrane gets the message and tells the cytoplasm to start to push things around.3. After that everything gets moved into place.
14012	Enzymes, Catalist, Eukaryotes
14013	The movement of substances has to make its way through the cell membrane. the membrane Only allowes a few people to go at a time.
14014	One of the ways cells can move substances across the cell membrane is by diffusion. Diffusion moves substances from an area of high concentration, to an area of low concentration. Another way cells move substances across the cell membrane is by osmosis. Osmosis moves water down the cell membrane. The last way cells move substances across the cell membrane is by the sodium-potassium pump. The sodium-potassium pump takes sodium ions out of the membrane and puts potassium ions into the membrane.
14015	Use of the membrane of the cell helps create movement.
14016	active transport, facilitated diffusion, and osmosis.
14017	Diffusion, Osmosis, Endocytosis
14018	Three processes used by cells to control movement of substances across the cell membrane are, diffusion, secretion, and absorption.
14019	The cells absorb the thing and they carry it to where ever it is supposed to go and they start that proces again.
14020	One is by moving the cell away from harmful areas. Another is moving the harmful stuff from the cell and bringing in the good stuff. Lastly the cell can move its self to places where it can get more food or water, etc.
14021	One would be going in the vacule and being use for energy.Two would be useing the mRNA to leave the cell.Thrid would be being used for food for the cell.
14022	the cell slide through the membrane then the cell breaks into piecsand the cell eats
14023	Active transport is where the cell uses energy to move the substances.Passive Transport is where the cell does not use energy to move the substances.Diffusion is where cells release energy
14024	1: They move with the flagellum,so they can move throughout the cells.2: By ribosomes, so they can send energy through out the cell.3: Or by sending messages to one another
14025	The outer membrane of the cell controls how much goes in and out of the cell.  Through the process of osmosis, water moves in or out of a cell depending on if there is a higher or lower concentration within the cell.  Another way they control this is by the growing of the outer membrane.  If there is too much of a substance within the cell, it will break apart to allow enough room.
14026	1. Golgi Apparatus     2. Endoplasmic Reticulum3.Mitochondria
14027	Nerve cells tell the membrane where it is and the membrane uses that imformation to move it.
14028	Diffusion- the process of using water to move across the membrane.Meiosis- the changing of a cell to move or take up space.
14029	The golgi aperatis acts as the bodies UPS man to transport material.Flagela is used by certain organisms to move.
14030	One process used by cells to control the movement of substances is when the membrane has different ways of letting different molecules enter.
14031	1. Golgie Apratus2. Lysomoes3. Endoplasmic Recticulum
14032	The ribsomes carry it throughout the cell.The mitocandria carries it to the nucleus.The clear liquid stuff carries it through the cell as well.
14033	One process that is used by cells to control the movement of different substances across the cell membrane is the fllagellum. the flagellum protects and moves the cell.
14034	Three processes that cells use to control the movement of substances across the cell membrane is protein synthesis, transfusion, and moving waste out.
14035	reproduction respiratin and food gatherinmg
14036	They don't let anything enter the cell membrane.
14037	Three of the processes used in the cell membrane is, diffusion, transfusion, and the letting in of substances into the cell.
14038	One way is when there is more liquid outside of the cell water enters the cell to make an equilibrium. Another way is if there is more liquid in the cell water will leave the cell.
14039	they use their membrane to filter things in and out of the cell then proteins take watever it is to be used
14040	cell wall which controls what goes in and out of the cell.nucleas is the brain of the cell/centermitochondria is the power house helps keep things moving
14041	The three processes used by cells to control the movement of substances across the cell memebrane are osmosis, diffusion, exocytosis. These three all help control the movement of substances across the cell membrane.
14042	Osmosis is one process that moves water from a high concentration area, to a lower concentration area. This makes it even throughout the whole cell. Diffusion is another process that moves water from a low area of concentration to a high area of concentration. Activation is another process, it
14043	Nuclear envelope- it is used to take waste out of the cell.Lysosomes
14044	They can control them, they can redirect them, and they can get rid of them.
14045	One processe used by cells to control the movement of substances across the cell membrane would be Cell reprodution.
14046	1. Mitosis2. Meosis3.Protein Synthesis
14047	OVER TIME THE CELLS CHANGE AN TAKE DIFFERENT FORMS
14048	mosmis, diffisen, miosis
14049	Cell diffusion, cell respiration, and cell exertion.
